sample_id,dice,iou,precision,recall,specificity,accuracy,f2,mae,boundary_f1,foreground_fraction,occupancy_mae_stage2,occupancy_mae_stage1,solver_active_fraction_stage2
cju35k2fr3vc50988c85qkrwg,0.9080085158348083,0.8315160870552063,0.8633423447608948,0.9575485587120056,0.9894055128097534,0.9873242378234863,0.9370977282524109,0.013474352657794952,0.6031195521354675,0.06533203274011612,3.83696768802011e-10,5.666389579772613e-10,0.014960937201976776
cju1euuc65wm00799m4sjdnnn,0.9589737057685852,0.9211810827255249,0.9409272074699402,0.9777259826660156,0.9975948333740234,0.9968457221984863,0.9701377749443054,0.003186023561283946,0.9545431137084961,0.03770507872104645,1.2745583755080503e-10,1.4453221952592799e-10,0.001992187462747097
cjz14qsk2wci60794un9ozwmw,0.969161868095398,0.9401687979698181,0.9441525340080261,0.9955320954322815,0.9927748441696167,0.9930761456489563,0.9848136901855469,0.007117837201803923,0.8364390134811401,0.10928711295127869,2.9528648970433835e-10,3.7931291441140047e-10,0.006718750111758709
cju32srle1xfq083575i3fl75,0.9590862989425659,0.9213888645172119,0.9719359278678894,0.946571946144104,0.9981547594070435,0.9948925971984863,0.9515382647514343,0.005126487463712692,0.8313601613044739,0.06324218958616257,1.708659880250707e-10,2.0956050783560443e-10,0.002578125102445483
cju7ey10f2rvf0871bwbi9x82,0.902864933013916,0.8229295611381531,0.8330311179161072,0.9854785203933716,0.9875752329826355,0.9874511957168579,0.9506829380989075,0.01306908018887043,0.6355990767478943,0.05917968600988388,4.636112882483445e-10,6.659945372966547e-10,0.014101562090218067
cju2srvy5440s0801y1ba9akr,0.9418023228645325,0.8900060653686523,0.9382637143135071,0.9453678131103516,0.9710913896560669,0.9629296660423279,0.9439383745193481,0.03652187064290047,0.6407234072685242,0.3172851502895355,7.467889640011549e-10,8.222359459963968e-10,0.025390625
cju2nguelpmlj0835rojdn097,0.967921793460846,0.9378376603126526,0.9460583329200745,0.9908197522163391,0.9887596964836121,0.9891015887260437,0.9815317988395691,0.010982039384543896,0.7121023535728455,0.16594725847244263,3.356960542877374e-10,3.995610509122116e-10,0.0062890625558793545
cju8clorgsuwn08714toqb7v6,0.9523661136627197,0.9090638756752014,0.9458768963813782,0.9589449763298035,0.992203950881958,0.9880664348602295,0.9563025236129761,0.012082960456609726,0.6800514459609985,0.12440429627895355,3.9204528512470915e-10,4.028107569720163e-10,0.0073046875186264515
cju33231uy4gi0993qc7b1jch,0.6509848237037659,0.48256298899650574,0.48830729722976685,0.9762025475502014,0.937175452709198,0.9394335746765137,0.8136165142059326,0.06067396700382233,0.48767518997192383,0.057861328125,1.01071717661938e-09,1.4783632096282417e-09,0.03886718675494194
cjyztzaqtrv430848l8xgcerw,0.9531574845314026,0.910507082939148,0.9170002341270447,0.9922831654548645,0.9780839085578918,0.9808691143989563,0.9762536883354187,0.01925795152783394,0.5877803564071655,0.19615234434604645,4.553243337923618e-10,3.769950462917393e-10,0.0072656250558793545
